race,candidate,precinct_name,precinct_code,votes,county_code
U.S. Senator,Maria Cantwell,Total,-1,67847,KP
U.S. Senator,Susan Hutchison,Total,-1,52308,KP
Congressional District 6 - U.S. Representative,Derek Kilmer,Total,-1,76746,KP
Congressional District 6 - U.S. Representative,Douglas Dightman,Total,-1,42628,KP
Supreme Court - Justice Position 2,Susan Owens,Total,-1,76506,KP
Supreme Court - Justice Position 8,Nathan Choi,Total,-1,31134,KP
Supreme Court - Justice Position 8,Steve Gonzalez,Total,-1,61064,KP
Supreme Court - Justice Position 9,Sheryl Gordon McCloud,Total,-1,74552,KP
"Court of Appeals, Division 2, District 2 - Judge Position 2",Rebecca Glasgow,Total,-1,74068,KP
Legislative District 23 - State Representative Pos. 1,Sherry V. Appleton,Total,-1,37982,KP
Legislative District 23 - State Representative Pos. 1,Becky Erickson,Total,-1,26412,KP
Legislative District 23 - State Representative Pos. 2,Drew Hansen,Total,-1,48232,KP
Legislative District 26 - State Senator,Emily Randall,Total,-1,17112,KP
Legislative District 26 - State Senator,Marty McClendon,Total,-1,16362,KP
Legislative District 26 - State Representative Pos. 1,Connie FitzPatrick,Total,-1,16269,KP
Legislative District 26 - State Representative Pos. 1,Jesse L. Young,Total,-1,17015,KP
Legislative District 26 - State Representative Pos. 2,Joy Stanford,Total,-1,15250,KP
Legislative District 26 - State Representative Pos. 2,Michelle Caldier,Total,-1,17966,KP
Legislative District 35 - State Senator,Irene Bowling,Total,-1,7128,KP
Legislative District 35 - State Senator,Tim Sheldon,Total,-1,8387,KP
Legislative District 35 - State Representative Pos. 1,Dan Griffey,Total,-1,10329,KP
Legislative District 35 - State Representative Pos. 1,James Thomas,Total,-1,6993,KP
Legislative District 35 - State Representative Pos. 2,David Daggett,Total,-1,8151,KP
Legislative District 35 - State Representative Pos. 2,Drew C. MacEwen,Total,-1,9124,KP
Kitsap County Commissioner District 3,Edward Wolfe,Total,-1,74517,KP
Kitsap County Assessor,Phil Cook,Total,-1,74294,KP
Kitsap County Auditor,Paul Andrews,Total,-1,64854,KP
Kitsap County Auditor,Richard Huddy,Total,-1,27028,KP
Kitsap County Clerk,Alison Sonntag,Total,-1,80990,KP
Kitsap County Coroner,Russ Reuther,Total,-1,52369,KP
Kitsap County Coroner,Jeff Wallis,Total,-1,53190,KP
Kitsap County Prosecuting Attorney,Chad M. Enright,Total,-1,80086,KP
Kitsap County Sheriff,Gary L. Simpson,Total,-1,81735,KP
Kitsap County Treasurer,Meredith Green,Total,-1,80833,KP
DISTRICT COURT District Court Judge Department 1,Claire A. Bradley,Total,-1,73377,KP
DISTRICT COURT District Court Judge Department 2,Jeffrey J. Jahns,Total,-1,71601,KP
DISTRICT COURT District Court Judge Department 3,Marilyn Paja,Total,-1,73264,KP
DISTRICT COURT District Court Judge Department 4,Kevin P. Kelly,Total,-1,72352,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Heather Pauley,Total,-1,46780,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Nate Andrews,Total,-1,44784,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,Total,-1,51146,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,Total,-1,69603,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,Total,-1,68363,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,Total,-1,51986,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,Total,-1,69283,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,Total,-1,51850,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,Total,-1,61923,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,Total,-1,52742,KP
PROPOSED PT POULSBO ANNEX 2018 Proposition No. 1 Enlargement of Port of Poulsbo,"Enlargement of the Port of Poulsbo, Yes",Total,-1,24,KP
PROPOSED PT POULSBO ANNEX 2018 Proposition No. 1 Enlargement of Port of Poulsbo,"Enlargement of the Port of Poulsbo, No",Total,-1,33,KP
CITY OF BAINBRIDGE ISLAND Proposition No. 1 Connecting Bainbridge: SAFE Mobility Levy,Approved,Total,-1,7278,KP
CITY OF BAINBRIDGE ISLAND Proposition No. 1 Connecting Bainbridge: SAFE Mobility Levy,Rejected,Total,-1,8577,KP
CENTRAL KITSAP FIRE AND RESCUE Proposition No. 1 Regular Property Tax Levy Lid-Lift for Fire &amp; Emergency Medical Services,Yes,Total,-1,16485,KP
CENTRAL KITSAP FIRE AND RESCUE Proposition No. 1 Regular Property Tax Levy Lid-Lift for Fire &amp; Emergency Medical Services,No,Total,-1,13933,KP
KITSAP COUNTY FIRE DISTRICT NO. 18 Proposition No. 1 Regular Property Tax Levy Lid Lift for Fire Protection &amp; Emergency Medical Services,Yes,Total,-1,8103,KP
KITSAP COUNTY FIRE DISTRICT NO. 18 Proposition No. 1 Regular Property Tax Levy Lid Lift for Fire Protection &amp; Emergency Medical Services,No,Total,-1,4904,KP
NORTH KITSAP FIRE AND RESCUE Proposition No. 1 Four Year Excess Levy for Maintenance and Operations,Approved,Total,-1,7794,KP
NORTH KITSAP FIRE AND RESCUE Proposition No. 1 Four Year Excess Levy for Maintenance and Operations,Rejected,Total,-1,2696,KP
"SOUTH KITSAP SCHOOL DISTRICT NO. 402 Proposition No. 1 School Construction for a Comprehensive High School #2 General Obligation Bonds - $184,680,000",Approved,Total,-1,18936,KP
"SOUTH KITSAP SCHOOL DISTRICT NO. 402 Proposition No. 1 School Construction for a Comprehensive High School #2 General Obligation Bonds - $184,680,000",Rejected,Total,-1,14960,KP
"SOUTH KITSAP SCHOOL DISTRICT NO. 402 Proposition No. 2 Capital Projects, School Safety and Security and Technology Levies",Yes,Total,-1,19304,KP
"SOUTH KITSAP SCHOOL DISTRICT NO. 402 Proposition No. 2 Capital Projects, School Safety and Security and Technology Levies",No,Total,-1,14533,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,Total,-1,70505,KP
