precinct_name,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
SEA 43-1271,State of Washington Initiative Measure No. 1631,43,2,7,Total,NP,Registered Voters,984
SEA 43-1271,US Senator,43,2,7,Total,NP,Registered Voters,984
SEA 43-1776,State of Washington Initiative Measure No. 1631,43,4,7,Total,NP,Registered Voters,979
SEA 43-1776,US Senator,43,4,7,Total,NP,Registered Voters,979
AUB 47-3518,State of Washington Initiative Measure No. 1631,47,7,8,Total,NP,Registered Voters,966
AUB 47-3518,US Senator,47,7,8,Total,NP,Registered Voters,966
SEA 43-1843,State of Washington Initiative Measure No. 1631,43,8,7,Total,NP,Registered Voters,942
SEA 43-1843,US Senator,43,8,7,Total,NP,Registered Voters,942
M-V 05-3368,State of Washington Initiative Measure No. 1631,5,9,8,Total,NP,Registered Voters,930
M-V 05-3368,US Senator,5,9,8,Total,NP,Registered Voters,930
BOT 01-0261,State of Washington Initiative Measure No. 1631,1,1,1,Total,NP,Registered Voters,926
BOT 01-0261,US Senator,1,1,1,Total,NP,Registered Voters,926
N-B 05-3611,State of Washington Initiative Measure No. 1631,5,3,8,Total,NP,Registered Voters,919
N-B 05-3611,US Senator,5,3,8,Total,NP,Registered Voters,919
AMES LAKE,State of Washington Initiative Measure No. 1631,5,3,1,Total,NP,Registered Voters,917
AMES LAKE,US Senator,5,3,1,Total,NP,Registered Voters,917
SEA 37-1636,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,917
SEA 37-1636,US Senator,37,2,9,Total,NP,Registered Voters,917
SEA 43-1887,State of Washington Initiative Measure No. 1631,43,2,7,Total,NP,Registered Voters,912
SEA 43-1887,US Senator,43,2,7,Total,NP,Registered Voters,912
SEA 11-1597,State of Washington Initiative Measure No. 1631,11,2,9,Total,NP,Registered Voters,909
SEA 11-1597,US Senator,11,2,9,Total,NP,Registered Voters,909
PAC 30-0885,State of Washington Initiative Measure No. 1631,30,7,8,Total,NP,Registered Voters,904
PAC 30-0885,US Senator,30,7,8,Total,NP,Registered Voters,904
RED 48-3664,State of Washington Initiative Measure No. 1631,48,3,1,Total,NP,Registered Voters,903
RED 48-3664,US Senator,48,3,1,Total,NP,Registered Voters,903
SEA 36-1801,State of Washington Initiative Measure No. 1631,36,4,7,Total,NP,Registered Voters,893
SEA 36-1801,US Senator,36,4,7,Total,NP,Registered Voters,893
AUB 47-2551,State of Washington Initiative Measure No. 1631,47,7,8,Total,NP,Registered Voters,890
AUB 47-2551,US Senator,47,7,8,Total,NP,Registered Voters,890
ISS 41-2409,State of Washington Initiative Measure No. 1631,41,3,8,Total,NP,Registered Voters,887
ISS 41-2409,US Senator,41,3,8,Total,NP,Registered Voters,887
SEA 37-1647,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,884
SEA 37-1647,US Senator,37,2,9,Total,NP,Registered Voters,884
ALDERWOOD,State of Washington Initiative Measure No. 1631,45,3,1,Total,NP,Registered Voters,883
ALDERWOOD,US Senator,45,3,1,Total,NP,Registered Voters,883
AUB 47-3456,State of Washington Initiative Measure No. 1631,47,7,8,Total,NP,Registered Voters,883
AUB 47-3456,US Senator,47,7,8,Total,NP,Registered Voters,883
MARIAN,State of Washington Initiative Measure No. 1631,34,8,7,Total,NP,Registered Voters,883
MARIAN,US Senator,34,8,7,Total,NP,Registered Voters,883
LAKE RETREAT,State of Washington Initiative Measure No. 1631,5,9,8,Total,NP,Registered Voters,880
LAKE RETREAT,US Senator,5,9,8,Total,NP,Registered Voters,880
SEA 43-2238,State of Washington Initiative Measure No. 1631,43,1,7,Total,NP,Registered Voters,879
SEA 43-2238,US Senator,43,1,7,Total,NP,Registered Voters,879
SEA 37-1838,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,878
SEA 37-1838,US Senator,37,2,9,Total,NP,Registered Voters,878
AUB 47-0045,State of Washington Initiative Measure No. 1631,47,7,8,Total,NP,Registered Voters,877
AUB 47-0045,US Senator,47,7,8,Total,NP,Registered Voters,877
BEL 41-0175,State of Washington Initiative Measure No. 1631,41,6,9,Total,NP,Registered Voters,876
BEL 41-0175,US Senator,41,6,9,Total,NP,Registered Voters,876
KEN 47-3402,State of Washington Initiative Measure No. 1631,47,7,8,Total,NP,Registered Voters,873
KEN 47-3402,US Senator,47,7,8,Total,NP,Registered Voters,873
SEA 37-1640,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,873
SEA 37-1640,US Senator,37,2,9,Total,NP,Registered Voters,873
SEA 37-1637,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,872
SEA 37-1637,US Senator,37,2,9,Total,NP,Registered Voters,872
SYLVAN,State of Washington Initiative Measure No. 1631,34,8,7,Total,NP,Registered Voters,872
SYLVAN,US Senator,34,8,7,Total,NP,Registered Voters,872
ENM 31-3247,State of Washington Initiative Measure No. 1631,31,9,8,Total,NP,Registered Voters,871
ENM 31-3247,US Senator,31,9,8,Total,NP,Registered Voters,871
SEA 37-1582,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,871
SEA 37-1582,US Senator,37,2,9,Total,NP,Registered Voters,871
SAM 41-3638,State of Washington Initiative Measure No. 1631,41,3,8,Total,NP,Registered Voters,869
SAM 41-3638,US Senator,41,3,8,Total,NP,Registered Voters,869
M-V 05-3589,State of Washington Initiative Measure No. 1631,5,9,8,Total,NP,Registered Voters,867
M-V 05-3589,US Senator,5,9,8,Total,NP,Registered Voters,867
SEA 34-1485,State of Washington Initiative Measure No. 1631,34,8,7,Total,NP,Registered Voters,866
SEA 34-1485,US Senator,34,8,7,Total,NP,Registered Voters,866
SEA 37-3636,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,866
SEA 37-3636,US Senator,37,2,9,Total,NP,Registered Voters,866
BUR 34-1047,State of Washington Initiative Measure No. 1631,34,8,7,Total,NP,Registered Voters,864
BUR 34-1047,US Senator,34,8,7,Total,NP,Registered Voters,864
SAM 41-0909,State of Washington Initiative Measure No. 1631,41,3,8,Total,NP,Registered Voters,864
SAM 41-0909,US Senator,41,3,8,Total,NP,Registered Voters,864
SNQ 05-3512,State of Washington Initiative Measure No. 1631,5,3,8,Total,NP,Registered Voters,864
SNQ 05-3512,US Senator,5,3,8,Total,NP,Registered Voters,864
BOT 01-0260,State of Washington Initiative Measure No. 1631,1,1,1,Total,NP,Registered Voters,863
BOT 01-0260,US Senator,1,1,1,Total,NP,Registered Voters,863
SEA 37-1841,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,861
SEA 37-1841,US Senator,37,2,9,Total,NP,Registered Voters,861
SAM 41-3215,State of Washington Initiative Measure No. 1631,41,3,8,Total,NP,Registered Voters,856
SAM 41-3215,US Senator,41,3,8,Total,NP,Registered Voters,856
FED 30-2996,State of Washington Initiative Measure No. 1631,30,7,9,Total,NP,Registered Voters,855
FED 30-2996,US Senator,30,7,9,Total,NP,Registered Voters,855
TUK 11-1165,State of Washington Initiative Measure No. 1631,11,8,9,Total,NP,Registered Voters,855
TUK 11-1165,US Senator,11,8,9,Total,NP,Registered Voters,855
M-V 05-2748,State of Washington Initiative Measure No. 1631,5,9,8,Total,NP,Registered Voters,854
M-V 05-2748,US Senator,5,9,8,Total,NP,Registered Voters,854
RNT 33-1204,State of Washington Initiative Measure No. 1631,33,5,9,Total,NP,Registered Voters,853
RNT 33-1204,US Senator,33,5,9,Total,NP,Registered Voters,853
BUR 33-0818,State of Washington Initiative Measure No. 1631,33,8,7,Total,NP,Registered Voters,852
BUR 33-0818,US Senator,33,8,7,Total,NP,Registered Voters,852
KEN 47-0798,State of Washington Initiative Measure No. 1631,47,9,8,Total,NP,Registered Voters,852
KEN 47-0798,US Senator,47,9,8,Total,NP,Registered Voters,852
ANGEL CITY,State of Washington Initiative Measure No. 1631,37,2,9,Total,NP,Registered Voters,851
ANGEL CITY,US Senator,37,2,9,Total,NP,Registered Voters,851
BEL 41-3608,State of Washington Initiative Measure No. 1631,41,6,9,Total,NP,Registered Voters,851
BEL 41-3608,US Senator,41,6,9,Total,NP,Registered Voters,851
KMR 46-1095,State of Washington Initiative Measure No. 1631,46,1,1,Total,NP,Registered Voters,851
KMR 46-1095,US Senator,46,1,1,Total,NP,Registered Voters,851
SAM 41-3507,State of Washington Initiative Measure No. 1631,41,3,8,Total,NP,Registered Voters,849
SAM 41-3507,US Senator,41,3,8,Total,NP,Registered Voters,849
SEA 36-1673,State of Washington Initiative Measure No. 1631,36,4,7,Total,NP,Registered Voters,849
SEA 36-1673,US Senator,36,4,7,Total,NP,Registered Voters,849
DES 33-2671,State of Washington Initiative Measure No. 1631,33,5,9,Total,NP,Registered Voters,848
DES 33-2671,US Senator,33,5,9,Total,NP,Registered Voters,848
