county_code,king_precinct_no,Precinct
KI,1,SHL 32-0001
KI,3,LFP 46-0003
KI,9,BUR 33-0009
KI,10,ALDERWOOD
KI,11,BEL 41-0011
KI,12,SHL 32-0012
KI,13,ALG 30-0013
KI,14,ALG 30-0014
KI,16,DES 33-0016
KI,17,BEL 41-0017
KI,19,KIR 01-0019
KI,22,ANGEL CITY
KI,24,SHL 32-0024
KI,25,BUR 34-0025
KI,26,KEN 47-0026
KI,28,KEN 47-0028
KI,31,RNT 11-0031
KI,33,BUR 34-0033
KI,36,KMR 46-0036
KI,37,ARTHUR
KI,38,SHL 32-0038
KI,41,AUB 47-0041
KI,42,AUB 31-0042
KI,45,AUB 47-0045
KI,46,AUB 30-0046
KI,47,AUB 31-0047
KI,48,AUB 31-0048
KI,49,AUB 31-0049
KI,50,AUB 31-0050
KI,51,AUB 31-0051
KI,53,AUB 30-0053
KI,54,AUB 31-0054
KI,55,AUB 47-0055
KI,58,AUB 31-0058
KI,59,AUB 47-0059
KI,62,AUB 31-0062
KI,63,AUB 31-0063
KI,64,AUB 31-0064
KI,65,AUB 31-0065
KI,67,AUB 30-0067
KI,69,AUB 31-0069
KI,70,AUB 31-0070
KI,72,AUB 47-0072
KI,73,AUB 47-0073
KI,74,AUB 47-0074
KI,78,AUB 31-0078
KI,80,AUB 31-0080
KI,81,AUB 31-0081
KI,82,AUB 31-0082
KI,83,AUB 31-0083
KI,88,SHL 32-0088
KI,89,AVALON
KI,91,AVONDALE
KI,92,LFP 46-0092
KI,93,BAKER
KI,94,BUR 33-0094
KI,98,BEAR CREEK
KI,99,BEA 41-0099
KI,100,SAM 41-0100
KI,101,BEL 41-0101
KI,102,BEL 41-0102
KI,103,BEL 41-0103
KI,106,BEL 41-0106
KI,108,BEL 41-0108
KI,109,BEL 41-0109
KI,110,BEL 41-0110
KI,111,BEL 41-0111
KI,112,BEL 41-0112
KI,113,BEL 41-0113
KI,114,BEL 41-0114
KI,116,BEL 41-0116
KI,117,BEL 41-0117
KI,119,BEL 41-0119
KI,120,BEL 41-0120
KI,121,BEL 41-0121
KI,122,BEL 41-0122
KI,123,BEL 41-0123
KI,124,BEL 41-0124
KI,125,BEL 48-0125
KI,126,BEL 48-0126
KI,127,BEL 48-0127
KI,128,BEL 41-0128
KI,129,BEL 41-0129
KI,131,BEL 41-0131
KI,132,BEL 48-0132
KI,133,BEL 48-0133
KI,134,BEL 48-0134
KI,135,BEL 48-0135
KI,136,BEL 48-0136
KI,138,BEL 48-0138
KI,140,BEL 48-0140
KI,142,BEL 48-0142
KI,143,BEL 48-0143
KI,144,BEL 48-0144
KI,145,BEL 48-0145
KI,146,BEL 48-0146
KI,147,BEL 48-0147
KI,149,BEL 48-0149
KI,151,BEL 48-0151
KI,153,BEL 48-0153
KI,154,BEL 48-0154
KI,156,BEL 48-0156
KI,159,BEL 48-0159
KI,160,BEL 48-0160
KI,162,BEL 48-0162
KI,164,BEL 48-0164
KI,165,BEL 48-0165
KI,166,BEL 48-0166
KI,167,BEL 48-0167
KI,168,BEL 48-0168
KI,169,BEL 48-0169
KI,170,BEL 48-0170
KI,171,BEL 48-0171
KI,175,BEL 41-0175
KI,176,BEL 41-0176
KI,177,BEL 48-0177
KI,178,BEL 48-0178
KI,179,BEL 41-0179
KI,180,BEL 41-0180
KI,186,BEL 48-0186
KI,188,BEL 48-0188
KI,189,BEL 48-0189
KI,190,BEL 48-0190
KI,191,BEL 48-0191
KI,192,BEL 48-0192
KI,193,BEL 48-0193
KI,194,BEL 48-0194
KI,196,BEL 48-0196
KI,198,BEL 48-0198
KI,201,BEL 48-0201
KI,203,BEL 41-0203
KI,205,BEL 41-0205
KI,206,BEL 41-0206
KI,207,BEL 48-0207
KI,210,BEL 41-0210
KI,211,BEL 41-0211
KI,212,BEL 48-0212
KI,213,BEL 48-0213
KI,216,BEL 48-0216
KI,217,BEL 48-0217
KI,218,BEL 48-0218
KI,219,BEL 41-0219
KI,220,BEL 41-0220
KI,221,BEL 48-0221
KI,223,BEL 48-0223
KI,224,BEL 48-0224
KI,225,BEL 48-0225
KI,226,BEL 48-0226
KI,227,BEL 48-0227
KI,229,KEN 47-0229
KI,231,BERNICE
KI,232,SHL 32-0232
KI,233,BETTY
